id,answer,time
1,,0.004393339157104492
2,,0.0024001598358154297
3,,0.0021238327026367188
4,,0.0023813247680664062
5,,0.0023806095123291016
6,,0.0023927688598632812
7,,0.0018074512481689453
8,,0.0024733543395996094
9,,0.0024576187133789062
10,,0.0024771690368652344
11,,0.0018906593322753906
12,,0.0028352737426757812
13,,0.0036728382110595703
14,,0.0030298233032226562
15,,0.0026221275329589844
16,,0.0021834373474121094
17,,0.0029745101928710938
18,,0.0029647350311279297
19,,0.002655029296875
20,,0.002646207809448242
21,,0.002188444137573242
22,,0.0020427703857421875
23,,0.002934694290161133
24,,0.0026657581329345703
25,,0.0023381710052490234
26,,0.0021293163299560547
27,,0.0024232864379882812
28,,0.0023593902587890625
29,,0.00200653076171875
30,,0.0023543834686279297
